course_name,internship_role,government_department,sector,location_city,minimum_age,maximum_age,duration_months,stipend_per_month_inr,mode,minimum_percentage_required,skill_requirement,certificate_provided,pre_placement_offer_possibility,application_mode,stipend_bucket,duration_bucket
BCA,Clinical Intern,Haryana Police Department,energy,ambala,21,30,6,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,medium
LLB,Electrical Maintenance Intern,Haryana Women & Child Development,social welfare,sonipat,19,24,3,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,short
MBA,HR Intern,Haryana IT Department,healthcare,sonipat,18,24,4,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
B.Tech Mechanical,Urban Planning Intern,Haryana IT Department,legal & judiciary,ambala,19,24,6,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
BA Political Science,Clinical Intern,Haryana Police Department,public administration,chandigarh,18,29,3,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
BA Political Science,Accounts Intern,Haryana Urban Local Bodies,education,rohtak,18,25,6,8000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
BSc Agriculture,Banking Operations Intern,Haryana Agriculture Department,energy,jind,21,22,4,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
M.Ed,Hospital Administration Intern,District Administration Office,it & digital,sirsa,21,30,6,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Tech Civil,Civil Site Intern,Haryana Transport Department,legal & judiciary,gurgaon,18,24,2,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
B.Com,Hospital Administration Intern,Haryana Transport Department,legal & judiciary,chandigarh,21,29,3,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
ITI Fitter,Transport Operations Intern,Haryana Irrigation Department,infrastructure,chandigarh,20,23,4,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
B.Pharmacy,Digital Governance Intern,Haryana Revenue Department,healthcare,sonipat,19,29,6,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
M.Ed,Urban Planning Intern,Haryana Women & Child Development,public administration,sirsa,19,25,2,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
BSc Environmental Science,Police Administration Intern,Haryana Transport Department,infrastructure,rohtak,20,22,6,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
MBBS,Transport Operations Intern,Haryana Urban Local Bodies,it & digital,sonipat,18,27,4,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
ITI Welder,Civil Site Intern,Haryana Education Department,energy,panipat,21,24,4,0,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
Diploma Mechanical,Public Policy Intern,Haryana Skill Development Mission,agriculture,sirsa,20,28,2,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Com,Software Development Intern,Haryana Agriculture Department,it & digital,ambala,18,22,3,12000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
MBBS,Social Welfare Intern,Haryana Public Works Department,infrastructure,bhiwani,18,22,1,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
M.Ed,Legal Research Intern,Haryana IT Department,education,sonipat,18,22,6,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,medium
ITI Welder,Water Resource Management Intern,Haryana Police Department,finance & accounts,jind,18,25,1,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,very_short
B.Tech Electrical,HR Intern,Haryana Urban Local Bodies,energy,ambala,18,29,6,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
BCA,HR Intern,Haryana Urban Local Bodies,it & digital,panipat,21,26,1,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,very_short
BCA,Electrical Maintenance Intern,Haryana Skill Development Mission,finance & accounts,yamunanagar,21,28,1,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,very_short
BA Economics,Digital Governance Intern,Haryana IT Department,healthcare,chandigarh,19,24,1,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,very_short
BSc Environmental Science,Electrical Maintenance Intern,District Administration Office,public administration,karnal,20,26,1,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,very_short
B.Tech Civil,Transport Operations Intern,Haryana Irrigation Department,healthcare,sonipat,18,23,6,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
ITI Electrician,Electrical Maintenance Intern,Haryana Skill Development Mission,finance & accounts,gurgaon,19,30,3,0,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,short
LLB,Urban Planning Intern,District Administration Office,infrastructure,bhiwani,19,27,3,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,short
ITI Welder,Transport Operations Intern,Haryana Transport Department,legal & judiciary,sirsa,20,27,3,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
B.Tech Electrical,Social Welfare Intern,Haryana Agriculture Department,it & digital,faridabad,18,28,1,20000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
LLM,Police Administration Intern,Haryana Transport Department,infrastructure,karnal,19,24,2,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
B.Pharmacy,Public Policy Intern,Haryana Urban Local Bodies,energy,kaithal,19,26,3,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
D.Pharmacy,Public Policy Intern,Haryana Renewable Energy Department,it & digital,yamunanagar,18,23,3,20000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
ITI Electrician,Urban Planning Intern,Haryana Health Department,public administration,ambala,20,25,6,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Ed,Accounts Intern,Haryana Women & Child Development,energy,panipat,19,29,2,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
Diploma Mechanical,Renewable Energy Intern,Haryana Transport Department,it & digital,yamunanagar,21,29,4,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
MCA,Social Welfare Intern,Haryana Revenue Department,legal & judiciary,karnal,21,30,1,12000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,very_short
Diploma Civil,Social Welfare Intern,Haryana Women & Child Development,social welfare,kaithal,18,25,3,20000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
B.Tech Civil,Urban Planning Intern,Haryana Education Department,finance & accounts,sirsa,19,30,6,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Com,Police Administration Intern,Haryana Health Department,social welfare,kaithal,21,23,6,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
ITI Electrician,Water Resource Management Intern,Haryana Police Department,agriculture,faridabad,20,23,4,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
M.Ed,Clinical Intern,Haryana Police Department,infrastructure,rohtak,20,23,2,20000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
B.Com,HR Intern,Haryana Skill Development Mission,legal & judiciary,jind,18,30,1,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
BA Political Science,Data Analyst Intern,Haryana Agriculture Department,legal & judiciary,karnal,21,25,2,8000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
BSc IT,Software Development Intern,Haryana Urban Local Bodies,legal & judiciary,sonipat,18,26,3,8000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
MBBS,Renewable Energy Intern,Haryana Renewable Energy Department,infrastructure,chandigarh,20,22,2,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
BSc Nursing,Civil Site Intern,Haryana Social Justice Department,legal & judiciary,jind,18,23,4,8000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
MBA,Electrical Maintenance Intern,Haryana Health Department,education,rohtak,21,26,4,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
B.Com,HR Intern,Haryana Skill Development Mission,legal & judiciary,panipat,21,22,1,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,very_short
MCA,Renewable Energy Intern,District Administration Office,healthcare,sonipat,20,29,3,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
B.Tech Electrical,Urban Planning Intern,Haryana Women & Child Development,energy,hisar,20,24,4,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
B.Tech Electrical,Renewable Energy Intern,Haryana Public Works Department,public administration,sonipat,19,29,3,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
MBBS,Software Development Intern,Haryana Transport Department,legal & judiciary,yamunanagar,21,26,1,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
D.Pharmacy,Clinical Intern,Haryana Women & Child Development,agriculture,bhiwani,19,27,2,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
M.Ed,Transport Operations Intern,Haryana Urban Local Bodies,social welfare,gurgaon,18,28,3,12000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
D.Pharmacy,Accounts Intern,Haryana Public Works Department,energy,kaithal,20,30,6,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
Diploma Civil,Legal Research Intern,Haryana Health Department,agriculture,panipat,21,22,3,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
MBBS,Hospital Administration Intern,District Administration Office,social welfare,panipat,18,26,4,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
BSc Agriculture,Urban Planning Intern,Haryana Social Justice Department,infrastructure,chandigarh,19,22,6,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
B.Ed,Banking Operations Intern,Haryana Transport Department,it & digital,sonipat,18,28,4,0,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,medium
BSc Biotechnology,Renewable Energy Intern,Haryana Agriculture Department,finance & accounts,jind,18,24,2,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
B.Com,Hospital Administration Intern,Haryana Police Department,it & digital,faridabad,18,30,6,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,medium
B.Tech Computer Science,Digital Governance Intern,Haryana Revenue Department,agriculture,faridabad,19,24,2,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
BSc Agriculture,HR Intern,Haryana IT Department,energy,karnal,18,22,4,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
MBA,Clinical Intern,Haryana Urban Local Bodies,infrastructure,jind,21,30,1,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
LLM,Legal Research Intern,Haryana Health Department,education,faridabad,18,30,2,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
Diploma Mechanical,Police Administration Intern,Haryana Agriculture Department,education,panipat,20,27,3,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,short
ITI Electrician,Banking Operations Intern,Haryana Revenue Department,social welfare,hisar,19,27,4,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
B.Tech Computer Science,Software Development Intern,Haryana IT Department,agriculture,bhiwani,18,24,6,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
BSc IT,Legal Research Intern,Haryana Urban Local Bodies,it & digital,panipat,19,30,6,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
B.Ed,Transport Operations Intern,Haryana Police Department,infrastructure,hisar,21,29,1,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,very_short
MBBS,Social Welfare Intern,Haryana Skill Development Mission,infrastructure,chandigarh,20,24,6,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
B.Tech Electrical,Legal Research Intern,Haryana Urban Local Bodies,energy,kaithal,21,25,1,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
BSc Agriculture,Accounts Intern,Haryana IT Department,energy,kaithal,19,24,1,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,very_short
B.Tech Mechanical,Electrical Maintenance Intern,Haryana Social Justice Department,infrastructure,gurgaon,20,24,6,8000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
BSc Environmental Science,Accounts Intern,Haryana Irrigation Department,social welfare,kaithal,21,30,6,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
B.Ed,Junior Mechanical Intern,Haryana Social Justice Department,social welfare,faridabad,19,26,3,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
