scholarship_id,scholarship_name,scholarship_id,ministry,scholarship_type,min_class,max_class,min_marks_required,annual_scholarship_amount,income_limit,eligible_category,apply_link,state,application_deadline,processing_time_days,renewal_eligible,hostel_allowance,book_allowance,monthly_stipend,is_haryana_eligible
SCHOL_00133,Post-Matric Scholarship for Students with Disabilities,NSP_010,department of empowerment of persons with disabilities,post-matric,10th Pass,Postgraduate,40,6000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,73,TRUE,1542,1197,500,TRUE
SCHOL_00152,Post-Matric Scholarship for OBC Students,NSP_008,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,300000,obc,scholarships.gov.in,haryana,31-10-2026,57,FALSE,89,1671,416.6666667,TRUE
SCHOL_00188,Prime Minister Scholarship Scheme for Armed Forces,NSP_014,ministry of defence,all,8th Pass,Research,50,12000,600000,armed forces ward,scholarships.gov.in,haryana,31-10-2026,74,TRUE,2841,248,1000,TRUE
SCHOL_00193,Prime Minister Scholarship Scheme for Armed Forces,NSP_014,ministry of defence,all,8th Pass,Research,50,12000,600000,armed forces ward,scholarships.gov.in,haryana,31-10-2026,57,TRUE,2125,1239,1000,TRUE
SCHOL_00218,Delhi Government Free Wi-Fi with Scholarship,STATE_DL_001,delhi government,all,8th Pass,12th Pass,0,5000,300000,all,delhi.gov.in,haryana,31-10-2026,73,FALSE,2060,1191,416.6666667,TRUE
SCHOL_00227,Prime Minister Scholarship Scheme for Armed Forces,NSP_014,ministry of defence,all,8th Pass,Research,50,12000,600000,armed forces ward,scholarships.gov.in,haryana,31-10-2026,33,TRUE,1772,1065,1000,TRUE
SCHOL_00268,Pre-Matric Scholarship for OBC Students,NSP_003,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,300000,obc,scholarships.gov.in,haryana,31-10-2026,39,TRUE,1901,161,291.6666667,TRUE
SCHOL_00283,Saksham Scholarship - Specially Abled (Diploma),AICTE_003,aicte,technical diploma,12th Pass,1st Year,40,50000,800000,pwd,aicte-india.org,haryana,31-10-2026,59,FALSE,2106,1750,4166.666667,TRUE
SCHOL_00293,Saksham Scholarship - Specially Abled (Diploma),AICTE_003,aicte,technical diploma,12th Pass,1st Year,40,50000,800000,pwd,aicte-india.org,haryana,31-10-2026,50,FALSE,701,633,4166.666667,TRUE
SCHOL_00301,Post-Matric Scholarship for Minorities,NSP_009,ministry of minority affairs,post-matric,10th Pass,Postgraduate,40,5000,250000,minority,scholarships.gov.in,haryana,31-10-2026,31,TRUE,2120,712,416.6666667,TRUE
SCHOL_00303,Post-Matric Scholarship for OBC Students,NSP_008,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,300000,obc,scholarships.gov.in,haryana,31-10-2026,54,TRUE,130,1521,416.6666667,TRUE
SCHOL_00306,Saksham Scholarship - Specially Abled (Diploma),AICTE_003,aicte,technical diploma,12th Pass,1st Year,40,50000,800000,pwd,aicte-india.org,haryana,31-10-2026,86,TRUE,1520,1838,4166.666667,TRUE
SCHOL_00332,UP Post Matric Scholarship for SC/ST,STATE_UP_001,uttar pradesh government,post-matric,10th Pass,Postgraduate,0,5200,300000,sc/st,myscheme.up.nic.in,haryana,31-10-2026,66,TRUE,938,1403,433.3333333,TRUE
SCHOL_00340,UP Post Matric Scholarship for SC/ST,STATE_UP_001,uttar pradesh government,post-matric,10th Pass,Postgraduate,0,5200,300000,sc/st,myscheme.up.nic.in,haryana,31-10-2026,64,FALSE,849,61,433.3333333,TRUE
SCHOL_00357,Delhi Government Free Wi-Fi with Scholarship,STATE_DL_001,delhi government,all,8th Pass,12th Pass,0,5000,300000,all,delhi.gov.in,haryana,31-10-2026,39,FALSE,2410,1460,416.6666667,TRUE
SCHOL_00398,Prime Minister Scholarship Scheme for Armed Forces,NSP_014,ministry of defence,all,8th Pass,Research,50,12000,600000,armed forces ward,scholarships.gov.in,haryana,31-10-2026,79,TRUE,105,886,1000,TRUE
SCHOL_00413,Railway Scholarship Scheme,SPECIAL_003,ministry of railways,all,8th Pass,Postgraduate,0,8000,500000,railway wards,scholarships.gov.in,haryana,31-10-2026,53,FALSE,2852,515,666.6666667,TRUE
SCHOL_00428,Pragati Scholarship Scheme - Girls (Degree),AICTE_002,aicte,technical degree,Undergraduate,Postgraduate,60,50000,600000,female,aicte-india.org,haryana,31-10-2026,58,FALSE,2891,861,4166.666667,TRUE
SCHOL_00449,Post-Matric Scholarship for Minorities,NSP_009,ministry of minority affairs,post-matric,10th Pass,Postgraduate,40,5000,250000,minority,scholarships.gov.in,haryana,31-10-2026,57,FALSE,1009,703,416.6666667,TRUE
SCHOL_00471,Central Sector Scheme of Scholarship for College & University Students,NSP_012,department of higher education,undergraduate,Undergraduate,Postgraduate,50,10000,450000,all,scholarships.gov.in,haryana,31-10-2026,68,TRUE,2206,1606,833.3333333,TRUE
SCHOL_00477,Maharashtra Post Matric Scholarship for SC/ST/OBC,STATE_MH_001,maharashtra government,post-matric,10th Pass,Postgraduate,0,6000,250000,sc/st/obc,mahacsc.in,haryana,31-10-2026,86,TRUE,2729,583,500,TRUE
SCHOL_00488,Post-Matric Scholarship for SC Students,NSP_006,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,250000,sc,scholarships.gov.in,haryana,31-10-2026,61,TRUE,2668,1005,416.6666667,TRUE
SCHOL_00498,Pragati Scholarship Scheme - Girls (Degree),AICTE_002,aicte,technical degree,Undergraduate,Postgraduate,60,50000,600000,female,aicte-india.org,haryana,31-10-2026,59,TRUE,2102,911,4166.666667,TRUE
SCHOL_00508,Delhi Government Free Wi-Fi with Scholarship,STATE_DL_001,delhi government,all,8th Pass,12th Pass,0,5000,300000,all,delhi.gov.in,haryana,31-10-2026,33,FALSE,310,261,416.6666667,TRUE
SCHOL_00535,Delhi Government Free Wi-Fi with Scholarship,STATE_DL_001,delhi government,all,8th Pass,12th Pass,0,5000,300000,all,delhi.gov.in,haryana,31-10-2026,85,TRUE,900,64,416.6666667,TRUE
SCHOL_00545,Saksham Scholarship - Specially Abled (Degree),AICTE_004,aicte,technical degree,Undergraduate,Postgraduate,50,50000,800000,pwd,aicte-india.org,haryana,31-10-2026,89,FALSE,788,1307,4166.666667,TRUE
SCHOL_00559,Karnataka Post Matric Scholarship for SC,STATE_KA_001,karnataka government,post-matric,10th Pass,Postgraduate,0,5500,250000,sc,karnataka.gov.in,haryana,31-10-2026,84,FALSE,2814,369,458.3333333,TRUE
SCHOL_00582,Tamil Nadu Post Matric Scholarship for SC/OBC,STATE_TN_001,tamil nadu government,post-matric,10th Pass,Postgraduate,0,5000,200000,sc/obc,tnscholarship.gov.in,haryana,31-10-2026,83,FALSE,2256,1997,416.6666667,TRUE
SCHOL_00631,UP Post Matric Scholarship for SC/ST,STATE_UP_001,uttar pradesh government,post-matric,10th Pass,Postgraduate,0,5200,300000,sc/st,myscheme.up.nic.in,haryana,31-10-2026,64,FALSE,2290,1854,433.3333333,TRUE
SCHOL_00675,Prime Minister Scholarship Scheme for Armed Forces,NSP_014,ministry of defence,all,8th Pass,Research,50,12000,600000,armed forces ward,scholarships.gov.in,haryana,31-10-2026,67,TRUE,661,1967,1000,TRUE
SCHOL_00719,National Fellowship and Scholarship for Higher Education of ST Students,NSP_013,ministry of tribal affairs,postgraduate,Postgraduate,Research,55,15000,500000,st,scholarships.gov.in,haryana,31-10-2026,43,FALSE,562,1141,1250,TRUE
SCHOL_00728,Post-Matric Scholarship for SC Students,NSP_006,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,250000,sc,scholarships.gov.in,haryana,31-10-2026,59,FALSE,1889,1823,416.6666667,TRUE
SCHOL_00740,Pre-Matric Scholarship for Minorities,NSP_004,ministry of minority affairs,pre-matric,8th Pass,10th Pass,0,3500,250000,minority,scholarships.gov.in,haryana,31-10-2026,56,FALSE,2037,362,291.6666667,TRUE
SCHOL_00743,Pre-Matric Scholarship for Students with Disabilities,NSP_005,department of empowerment of persons with disabilities,pre-matric,8th Pass,10th Pass,0,4000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,66,FALSE,123,1892,333.3333333,TRUE
SCHOL_00749,Pre-Matric Scholarship for OBC Students,NSP_003,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,300000,obc,scholarships.gov.in,haryana,31-10-2026,63,FALSE,761,1520,291.6666667,TRUE
SCHOL_00760,Prime Minister Scholarship Scheme for Armed Forces,NSP_014,ministry of defence,all,8th Pass,Research,50,12000,600000,armed forces ward,scholarships.gov.in,haryana,31-10-2026,41,FALSE,882,146,1000,TRUE
SCHOL_00772,Ishan Uday Scholarship for NER,UGC_002,ugc,all,8th Pass,Research,50,10000,400000,ner students,ugc.ac.in,haryana,31-10-2026,71,FALSE,125,276,833.3333333,TRUE
SCHOL_00775,Post-Matric Scholarship for OBC Students,NSP_008,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,300000,obc,scholarships.gov.in,haryana,31-10-2026,78,FALSE,541,646,416.6666667,TRUE
SCHOL_00791,Post-Matric Scholarship for Students with Disabilities,NSP_010,department of empowerment of persons with disabilities,post-matric,10th Pass,Postgraduate,40,6000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,65,FALSE,1589,1587,500,TRUE
SCHOL_00874,Tamil Nadu Post Matric Scholarship for SC/OBC,STATE_TN_001,tamil nadu government,post-matric,10th Pass,Postgraduate,0,5000,200000,sc/obc,tnscholarship.gov.in,haryana,31-10-2026,74,FALSE,1289,314,416.6666667,TRUE
SCHOL_00881,Delhi Government Free Wi-Fi with Scholarship,STATE_DL_001,delhi government,all,8th Pass,12th Pass,0,5000,300000,all,delhi.gov.in,haryana,31-10-2026,49,TRUE,2801,627,416.6666667,TRUE
SCHOL_00894,Delhi Government Free Wi-Fi with Scholarship,STATE_DL_001,delhi government,all,8th Pass,12th Pass,0,5000,300000,all,delhi.gov.in,haryana,31-10-2026,79,FALSE,2749,868,416.6666667,TRUE
SCHOL_00935,Maharashtra Post Matric Scholarship for SC/ST/OBC,STATE_MH_001,maharashtra government,post-matric,10th Pass,Postgraduate,0,6000,250000,sc/st/obc,mahacsc.in,haryana,31-10-2026,67,FALSE,153,1962,500,TRUE
SCHOL_00962,Prime Minister Scholarship Scheme for Armed Forces,NSP_014,ministry of defence,all,8th Pass,Research,50,12000,600000,armed forces ward,scholarships.gov.in,haryana,31-10-2026,46,TRUE,2556,389,1000,TRUE
SCHOL_00966,Post-Matric Scholarship for SC Students,NSP_006,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,250000,sc,scholarships.gov.in,haryana,31-10-2026,69,FALSE,1642,1572,416.6666667,TRUE
SCHOL_01001,National Means-cum-Merit Scholarship (NMMSS),NSP_011,department of school education,merit-cum-means,8th Pass,12th Pass,55,12000,350000,all,dsel.education.gov.in,haryana,31-10-2026,89,FALSE,2072,1845,1000,TRUE
SCHOL_01023,Central Sector Top Class Education SC,SPECIAL_002,department of social justice,undergraduate,Undergraduate,Postgraduate,60,20000,400000,sc,scholarships.gov.in,haryana,31-10-2026,41,FALSE,2314,53,1666.666667,TRUE
SCHOL_01031,National Scholarship for Postgraduate Studies,UGC_001,ugc,postgraduate,Postgraduate,Research,60,20000,600000,all,ugc.ac.in,haryana,31-10-2026,75,TRUE,922,867,1666.666667,TRUE
SCHOL_01048,National Means-cum-Merit Scholarship (NMMSS),NSP_011,department of school education,merit-cum-means,8th Pass,12th Pass,55,12000,350000,all,dsel.education.gov.in,haryana,31-10-2026,64,TRUE,1231,708,1000,TRUE
SCHOL_01059,Ishan Uday Scholarship for NER,UGC_002,ugc,all,8th Pass,Research,50,10000,400000,ner students,ugc.ac.in,haryana,31-10-2026,51,TRUE,832,1087,833.3333333,TRUE
SCHOL_01067,Ishan Uday Scholarship for NER,UGC_002,ugc,all,8th Pass,Research,50,10000,400000,ner students,ugc.ac.in,haryana,31-10-2026,40,FALSE,2923,1959,833.3333333,TRUE
SCHOL_01073,Pre-Matric Scholarship for Students with Disabilities,NSP_005,department of empowerment of persons with disabilities,pre-matric,8th Pass,10th Pass,0,4000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,46,TRUE,2678,824,333.3333333,TRUE
SCHOL_01076,ICAR Scholarship (Agricultural Studies),SPECIAL_004,department of agriculture,undergraduate,Undergraduate,Postgraduate,60,25000,600000,all,icar.org.in,haryana,31-10-2026,59,TRUE,1938,493,2083.333333,TRUE
SCHOL_01082,West Bengal Post Matric Scholarship for SC/ST/OBC,STATE_WB_001,west bengal government,post-matric,10th Pass,Postgraduate,0,4800,250000,sc/st/obc,wbsed.gov.in,haryana,31-10-2026,68,FALSE,636,1036,400,TRUE
SCHOL_01109,Railway Scholarship Scheme,SPECIAL_003,ministry of railways,all,8th Pass,Postgraduate,0,8000,500000,railway wards,scholarships.gov.in,haryana,31-10-2026,79,TRUE,275,499,666.6666667,TRUE
SCHOL_01134,Pre-Matric Scholarship for Minorities,NSP_004,ministry of minority affairs,pre-matric,8th Pass,10th Pass,0,3500,250000,minority,scholarships.gov.in,haryana,31-10-2026,42,FALSE,976,1128,291.6666667,TRUE
SCHOL_01137,Pre-Matric Scholarship for SC Students,NSP_001,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,250000,sc,scholarships.gov.in,haryana,31-10-2026,47,FALSE,2656,446,291.6666667,TRUE
SCHOL_01144,Pre-Matric Scholarship for OBC Students,NSP_003,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,300000,obc,scholarships.gov.in,haryana,31-10-2026,56,FALSE,270,1186,291.6666667,TRUE
SCHOL_01151,Tamil Nadu Post Matric Scholarship for SC/OBC,STATE_TN_001,tamil nadu government,post-matric,10th Pass,Postgraduate,0,5000,200000,sc/obc,tnscholarship.gov.in,haryana,31-10-2026,75,FALSE,974,1325,416.6666667,TRUE
SCHOL_01174,Pre-Matric Scholarship for ST Students,NSP_002,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,250000,st,scholarships.gov.in,haryana,31-10-2026,76,TRUE,985,1555,291.6666667,TRUE
SCHOL_01195,Pre-Matric Scholarship for Students with Disabilities,NSP_005,department of empowerment of persons with disabilities,pre-matric,8th Pass,10th Pass,0,4000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,49,FALSE,2671,375,333.3333333,TRUE
SCHOL_01207,Pre-Matric Scholarship for ST Students,NSP_002,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,250000,st,scholarships.gov.in,haryana,31-10-2026,64,TRUE,1546,1620,291.6666667,TRUE
SCHOL_01213,Pragati Scholarship Scheme - Girls (Diploma),AICTE_001,aicte,technical diploma,12th Pass,1st Year,50,50000,600000,female,aicte-india.org,haryana,31-10-2026,41,FALSE,1356,1923,4166.666667,TRUE
SCHOL_01223,National Fellowship and Scholarship for Higher Education of ST Students,NSP_013,ministry of tribal affairs,postgraduate,Postgraduate,Research,55,15000,500000,st,scholarships.gov.in,haryana,31-10-2026,50,FALSE,2212,26,1250,TRUE
SCHOL_01243,Pre-Matric Scholarship for ST Students,NSP_002,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,250000,st,scholarships.gov.in,haryana,31-10-2026,53,FALSE,1131,530,291.6666667,TRUE
SCHOL_01253,Central Sector Scheme of Scholarship for College & University Students,NSP_012,department of higher education,undergraduate,Undergraduate,Postgraduate,50,10000,450000,all,scholarships.gov.in,haryana,31-10-2026,38,FALSE,1887,504,833.3333333,TRUE
SCHOL_01258,National Scholarship for Postgraduate Studies,UGC_001,ugc,postgraduate,Postgraduate,Research,60,20000,600000,all,ugc.ac.in,haryana,31-10-2026,75,FALSE,1892,1681,1666.666667,TRUE
SCHOL_01278,Railway Scholarship Scheme,SPECIAL_003,ministry of railways,all,8th Pass,Postgraduate,0,8000,500000,railway wards,scholarships.gov.in,haryana,31-10-2026,82,TRUE,128,1872,666.6666667,TRUE
SCHOL_01301,Karnataka Post Matric Scholarship for SC,STATE_KA_001,karnataka government,post-matric,10th Pass,Postgraduate,0,5500,250000,sc,karnataka.gov.in,haryana,31-10-2026,54,FALSE,1490,864,458.3333333,TRUE
SCHOL_01306,Swanath Scholarship (Degree),AICTE_006,aicte,technical degree,Undergraduate,Postgraduate,65,40000,500000,all,aicte-india.org,haryana,31-10-2026,67,FALSE,2264,1513,3333.333333,TRUE
SCHOL_01336,Post-Matric Scholarship for ST Students,NSP_007,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,250000,st,scholarships.gov.in,haryana,31-10-2026,44,TRUE,924,122,416.6666667,TRUE
SCHOL_01340,Delhi Government Free Wi-Fi with Scholarship,STATE_DL_001,delhi government,all,8th Pass,12th Pass,0,5000,300000,all,delhi.gov.in,haryana,31-10-2026,49,TRUE,1923,1714,416.6666667,TRUE
SCHOL_01358,National Scholarship for Postgraduate Studies,UGC_001,ugc,postgraduate,Postgraduate,Research,60,20000,600000,all,ugc.ac.in,haryana,31-10-2026,75,FALSE,373,556,1666.666667,TRUE
SCHOL_01367,National Scholarship for Postgraduate Studies,UGC_001,ugc,postgraduate,Postgraduate,Research,60,20000,600000,all,ugc.ac.in,haryana,31-10-2026,69,TRUE,1944,1512,1666.666667,TRUE
SCHOL_01389,Post-Matric Scholarship for Students with Disabilities,NSP_010,department of empowerment of persons with disabilities,post-matric,10th Pass,Postgraduate,40,6000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,59,TRUE,2803,273,500,TRUE
SCHOL_01399,Pre-Matric Scholarship for Students with Disabilities,NSP_005,department of empowerment of persons with disabilities,pre-matric,8th Pass,10th Pass,0,4000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,89,FALSE,72,307,333.3333333,TRUE
SCHOL_01402,Prime Minister Scholarship Scheme for Armed Forces,NSP_014,ministry of defence,all,8th Pass,Research,50,12000,600000,armed forces ward,scholarships.gov.in,haryana,31-10-2026,80,TRUE,734,88,1000,TRUE
SCHOL_01417,National Means-cum-Merit Scholarship (NMMSS),NSP_011,department of school education,merit-cum-means,8th Pass,12th Pass,55,12000,350000,all,dsel.education.gov.in,haryana,31-10-2026,80,FALSE,1307,898,1000,TRUE
SCHOL_01445,Pre-Matric Scholarship for Students with Disabilities,NSP_005,department of empowerment of persons with disabilities,pre-matric,8th Pass,10th Pass,0,4000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,86,FALSE,264,1898,333.3333333,TRUE
SCHOL_01477,Pre-Matric Scholarship for ST Students,NSP_002,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,250000,st,scholarships.gov.in,haryana,31-10-2026,79,TRUE,1104,484,291.6666667,TRUE
SCHOL_01489,Post-Matric Scholarship for ST Students,NSP_007,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,250000,st,scholarships.gov.in,haryana,31-10-2026,36,FALSE,225,669,416.6666667,TRUE
SCHOL_01508,Swanath Scholarship (Diploma),AICTE_005,aicte,technical diploma,12th Pass,1st Year,55,40000,500000,all,aicte-india.org,haryana,31-10-2026,81,FALSE,728,1177,3333.333333,TRUE
SCHOL_01516,Pragati Scholarship Scheme - Girls (Degree),AICTE_002,aicte,technical degree,Undergraduate,Postgraduate,60,50000,600000,female,aicte-india.org,haryana,31-10-2026,37,TRUE,486,859,4166.666667,TRUE
SCHOL_01518,Tamil Nadu Post Matric Scholarship for SC/OBC,STATE_TN_001,tamil nadu government,post-matric,10th Pass,Postgraduate,0,5000,200000,sc/obc,tnscholarship.gov.in,haryana,31-10-2026,43,TRUE,537,1144,416.6666667,TRUE
SCHOL_01534,Saksham Scholarship - Specially Abled (Diploma),AICTE_003,aicte,technical diploma,12th Pass,1st Year,40,50000,800000,pwd,aicte-india.org,haryana,31-10-2026,50,FALSE,1172,888,4166.666667,TRUE
SCHOL_01538,Post-Matric Scholarship for Students with Disabilities,NSP_010,department of empowerment of persons with disabilities,post-matric,10th Pass,Postgraduate,40,6000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,46,TRUE,962,957,500,TRUE
SCHOL_01557,Post-Matric Scholarship for Students with Disabilities,NSP_010,department of empowerment of persons with disabilities,post-matric,10th Pass,Postgraduate,40,6000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,55,TRUE,842,790,500,TRUE
SCHOL_01563,National Scholarship for Postgraduate Studies,UGC_001,ugc,postgraduate,Postgraduate,Research,60,20000,600000,all,ugc.ac.in,haryana,31-10-2026,52,FALSE,176,138,1666.666667,TRUE
SCHOL_01564,Pre-Matric Scholarship for ST Students,NSP_002,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,250000,st,scholarships.gov.in,haryana,31-10-2026,55,FALSE,1184,942,291.6666667,TRUE
SCHOL_01570,Pre-Matric Scholarship for OBC Students,NSP_003,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,300000,obc,scholarships.gov.in,haryana,31-10-2026,69,TRUE,2745,1273,291.6666667,TRUE
SCHOL_01588,National Fellowship and Scholarship for Higher Education of ST Students,NSP_013,ministry of tribal affairs,postgraduate,Postgraduate,Research,55,15000,500000,st,scholarships.gov.in,haryana,31-10-2026,43,TRUE,1065,421,1250,TRUE
SCHOL_01600,Post-Matric Scholarship for ST Students,NSP_007,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,250000,st,scholarships.gov.in,haryana,31-10-2026,78,FALSE,2341,918,416.6666667,TRUE
SCHOL_01615,ICAR Scholarship (Agricultural Studies),SPECIAL_004,department of agriculture,undergraduate,Undergraduate,Postgraduate,60,25000,600000,all,icar.org.in,haryana,31-10-2026,70,TRUE,230,452,2083.333333,TRUE
SCHOL_01616,Tamil Nadu Post Matric Scholarship for SC/OBC,STATE_TN_001,tamil nadu government,post-matric,10th Pass,Postgraduate,0,5000,200000,sc/obc,tnscholarship.gov.in,haryana,31-10-2026,39,FALSE,1467,1151,416.6666667,TRUE
SCHOL_01693,Pragati Scholarship Scheme - Girls (Diploma),AICTE_001,aicte,technical diploma,12th Pass,1st Year,50,50000,600000,female,aicte-india.org,haryana,31-10-2026,88,FALSE,1323,81,4166.666667,TRUE
SCHOL_01702,PM YASASVI Scheme (OBC/EBC/DNT),SPECIAL_001,department of social justice,school,8th Pass,10th Pass,50,75000,600000,obc/ebc/dnt,scholarships.gov.in,haryana,31-10-2026,80,TRUE,771,893,6250,TRUE
SCHOL_01710,ICAR Scholarship (Agricultural Studies),SPECIAL_004,department of agriculture,undergraduate,Undergraduate,Postgraduate,60,25000,600000,all,icar.org.in,haryana,31-10-2026,34,TRUE,2305,1953,2083.333333,TRUE
SCHOL_01718,Post-Matric Scholarship for SC Students,NSP_006,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,250000,sc,scholarships.gov.in,haryana,31-10-2026,87,FALSE,357,1197,416.6666667,TRUE
SCHOL_01728,National Fellowship and Scholarship for Higher Education of ST Students,NSP_013,ministry of tribal affairs,postgraduate,Postgraduate,Research,55,15000,500000,st,scholarships.gov.in,haryana,31-10-2026,58,TRUE,1840,1962,1250,TRUE
SCHOL_01752,Karnataka Post Matric Scholarship for SC,STATE_KA_001,karnataka government,post-matric,10th Pass,Postgraduate,0,5500,250000,sc,karnataka.gov.in,haryana,31-10-2026,48,TRUE,1663,306,458.3333333,TRUE
SCHOL_01761,Post-Matric Scholarship for ST Students,NSP_007,department of social justice,post-matric,10th Pass,Postgraduate,40,5000,250000,st,scholarships.gov.in,haryana,31-10-2026,76,TRUE,2003,1537,416.6666667,TRUE
SCHOL_01779,Post-Matric Scholarship for Minorities,NSP_009,ministry of minority affairs,post-matric,10th Pass,Postgraduate,40,5000,250000,minority,scholarships.gov.in,haryana,31-10-2026,31,FALSE,514,429,416.6666667,TRUE
SCHOL_01788,West Bengal Post Matric Scholarship for SC/ST/OBC,STATE_WB_001,west bengal government,post-matric,10th Pass,Postgraduate,0,4800,250000,sc/st/obc,wbsed.gov.in,haryana,31-10-2026,78,FALSE,2763,1507,400,TRUE
SCHOL_01799,Pre-Matric Scholarship for Students with Disabilities,NSP_005,department of empowerment of persons with disabilities,pre-matric,8th Pass,10th Pass,0,4000,300000,pwd,scholarships.gov.in,haryana,31-10-2026,57,TRUE,1305,132,333.3333333,TRUE
SCHOL_01802,Central Sector Top Class Education SC,SPECIAL_002,department of social justice,undergraduate,Undergraduate,Postgraduate,60,20000,400000,sc,scholarships.gov.in,haryana,31-10-2026,45,TRUE,2598,928,1666.666667,TRUE
SCHOL_01819,Delhi Government Free Wi-Fi with Scholarship,STATE_DL_001,delhi government,all,8th Pass,12th Pass,0,5000,300000,all,delhi.gov.in,haryana,31-10-2026,75,TRUE,930,495,416.6666667,TRUE
SCHOL_01821,Pragati Scholarship Scheme - Girls (Degree),AICTE_002,aicte,technical degree,Undergraduate,Postgraduate,60,50000,600000,female,aicte-india.org,haryana,31-10-2026,78,FALSE,1695,63,4166.666667,TRUE
SCHOL_01853,ICAR Scholarship (Agricultural Studies),SPECIAL_004,department of agriculture,undergraduate,Undergraduate,Postgraduate,60,25000,600000,all,icar.org.in,haryana,31-10-2026,47,TRUE,2804,781,2083.333333,TRUE
SCHOL_01863,Pre-Matric Scholarship for OBC Students,NSP_003,department of social justice,pre-matric,8th Pass,10th Pass,0,3500,300000,obc,scholarships.gov.in,haryana,31-10-2026,45,FALSE,2045,523,291.6666667,TRUE
